Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Commerce alimentaire (localisation) 2020
100666;null;B203
100667;null;B203
100668;null;B204
100669;null;B204
10067;null;B200
100670;null;B100
100671;null;B100
100672;null;B200
100673;null;B203
100674;null;B204
100675;null;B100
100676;null;B100
100677;null;B100
100678;null;B100
100679;null;B200
10068;null;B203
100680;null;B200
100681;null;B203
100682;null;B203
100683;null;B203
100684;null;B203
100685;null;B204
100686;null;B203
100687;null;B203
100688;null;B203
100689;null;B203
10069;null;B204
100690;null;B203
100691;null;B203
100692;null;B203
100693;null;B204
100694;null;B204
100695;null;B204
100696;null;B204
100697;null;B204
100698;null;B204
100699;null;B206
1007;null;B200
10070;null;B204
100700;null;B100
100701;null;B203
100702;null;B204
100703;null;B203
100704;null;B200
100705;null;B204
100706;null;B204
100707;null;B200
100708;null;B203
100709;null;B204
10071;null;B204
100710;null;B204
100711;null;B200
100712;null;B204
100713;null;B204
100714;null;B200
100715;null;B200
100716;null;B203
100717;null;B204
100718;null;B200
100719;null;B203
10072;null;B206
100720;null;B204
100721;null;B100
100722;null;B100
100723;null;B100
100724;null;B100
100725;null;B100
100726;null;B200
100727;null;B200
100728;null;B200
100729;null;B200
10073;null;B200
100730;null;B200
100731;null;B200
100732;null;B203
100733;null;B203
100734;null;B203
100735;null;B203
100736;null;B203
100737;null;B203
100738;null;B203
100739;null;B203
10074;null;B200
100740;null;B203
100741;null;B100
100742;null;B203
100743;null;B200
100744;null;B200
100745;null;B204
100746;null;B204
100747;null;B203
100748;null;B203
100749;null;B200
10075;null;B203
100750;null;B203
100751;null;B100
100752;null;B200
100753;null;B200
100754;null;B203
100755;null;B203
100756;null;B204
100757;null;B203
100758;null;B203
100759;null;B203
10076;null;B200
100760;null;B204
100761;null;B204
100762;null;B204
100763;null;B204
100764;null;B204
100765;null;B204
100766;null;B204
100767;null;B204
100768;null;B204
100769;null;B204
10077;null;B200
100770;null;B204
100771;null;B206
100772;null;B200
100773;null;B203
100774;null;B204
100775;null;B203
100776;null;B203
100777;null;B200
100778;null;B203
100779;null;B200
10078;null;B200
100780;null;B203
100781;null;B203
100782;null;B204
100783;null;B204
100784;null;B203
100785;null;B203
100786;null;B204
100787;null;B200
100788;null;B203
100789;null;B204
10079;null;B200
100790;null;B203
100791;null;B204
100792;null;B200
100793;null;B203
100794;null;B204
100795;null;B203
100796;null;B203
100797;null;B200
100798;null;B203
100799;null;B203
1008;null;B200
10080;null;B200
100800;null;B203
100801;null;B200
100802;null;B203
100803;null;B204
100804;null;B200
100805;null;B200
100806;null;B203
100807;null;B203
100808;null;B204
100809;null;B204
10081;null;B200
100810;null;B200
100811;null;B203
100812;null;B206
100813;null;B200
100814;null;B200
100815;null;B203
100816;null;B203
100817;null;B203
100818;null;B203
100819;null;B203
10082;null;B200
100820;null;B204
100821;null;B204
100822;null;B204
100823;null;B203
100824;null;B100
100825;null;B100
100826;null;B200
100827;null;B200
100828;null;B200
100829;null;B200
10083;null;B200
100830;null;B200
100831;null;B203
